Job Title,Company,Location,Posted,Applicants,Responsibilities,Team,Other
Oracle Data & Analytics Functional Consultant - Senior Associate,PwC,"California, United States",,,Lead business and data requirements for data strategy projects; Conduct data analysis and oversee testing for implementation projects; Mentor team members and maintain elevated standards; Build and nurture client relationships; Develop a profound understanding of the business context; Navigate complex scenarios to grow personal and technical proficiency,,
Protection & Controls Substation Project Engineer,Jobot,"100% Remote, Dayton, OH",,,"Design and implement complex protection and control systems for substations up to 500KV; Develop and interpret AC Schematics, DC Schematics, and Wiring Diagrams; Work closely with the project management team to ensure project specifications are met and timelines are followed; Utilize SCADA systems to monitor and control substation operations; Oversee the entire substation project lifecycle at the utility level, from planning and design to implementation and maintenance; Ensure all work complies with relevant industry standards and regulations; Provide technical guidance and support to junior engineers and other team members",,
Data Engineer,Wiraa,United States,16 minutes ago,Over 200 applicants,,,
Certified Industrial Hygienist (CIH) - Leadership Role,CyberCoders,"REMOTE, Ventura, CA",08/22/2025,,Leadership & Team Oversight; Project & Operations Management; Technical Expertise & Compliance; Client Engagement & Communication; Business Development & Innovation,,
Artificial Intelligence (AI) Engineer,alter émo,United States,,,"Develop emotional predictive AI systems; Optimize image recognition models for emotional state detection; Build algorithms for emotional status analysis; Create segmentation models for emotional profile categorization; Implement real-time emotion recognition from multimodal inputs; Design generative AI systems for emotional expression and support; Build AI-powered tools for loneliness mitigation; Develop empathetic mental health support chatbots; Create personalized content generation for emotional well-being; Train, fine-tune, and deploy custom AI models",,
"AI / Automation Engineer, Senior",,United States,,,"Develop, test, and enhance AI-based solutions; collaborate with cross-functional teams; manage projects; mentor junior team members",Engineering; Information Technology,
Adobe Workfront System Administrator,GAC Solutions,United States,29 minutes ago,,,,
Artificial Intelligence Engineer,Connective Talent,United States,30 minutes ago,27,Lead & Mentor; Build AI Solutions; Integrate at Scale; Establish Governance; Evangelize AI; Architect Enterprise Solutions,,
Senior Epic Clarity Report Developer,Medasource,United States,33 minutes ago,Be among the first 25 applicants,"Demonstrate expert level knowledge and ability to develop unique reporting solutions; Act as a liaison to site executives, UDCs, and other committees to ensure thorough understanding of organizational strategic and operational objectives.; Develop health care subject matter expertise related to specific products, data elements, business processes, data marts, and reporting applications.; Mentor report developers to improve technical skills and provides technical guidance to less experienced personnel. Acts as a resource for Epic data model, SQL and/or Crystal.; Lead the development and validate test plans for solutions, applications and/or operating systems.; Triages and prioritizes data requests and seeks understanding of technical requirements.; Troubleshoot highly complex SQL scripts using Crystal reports, RW SQL or other reporting technologies from database resources to deliver custom reporting that meets the needs of the clinical or business operations.; Build complex Universes/Cubes, Extracts or third-party tools as needed.; Complete thorough testing and validation of all reports prior to handoff for functional and/or end user testing using best practices.; Document and report system issues through internal chain of command; communicates with vendor where appropriate.; Gain an in-depth understanding and demonstrate expertise in multiple Epic data models, with ability to determines data structures that benefits the entire reporting environment. Technical development of complex reports, applications and ability to drive unique solutions.; Apply proven communication, analytical and problem-solving skills to help identify, communicate and resolve report issues to maximize system potential.; Demonstrate a high level of critical thinking and analytical skills with as expert level understanding of relational database/BI environments and related technologies.; Prioritize and implement requested reports and changes and analyzes new functionality in releases to determine how it should be used and access value and plan for implementation.; Maintain regular communication with Epic representatives, UMMS Application teams and works with the Epic representatives and UMMS' end user community/Clinical Informatics to ensure that the reports meet the organization’s needs.; Lead support during implementation or upgrades; able to serve as a report expert to assist in application roll-out.; Follow and promote team standards, development methodology and processes for specification, implementation, testing, change management, distribution, and documentation of reports. Updates ticket tracking system with routine status updates and manages ticket queue.; Leads cross-functional teams to achieve goals of BI (and broader Data & Analytics) projects, including work plans, system design, and testing of solutions.; Conduct and/or participates in in-service and various educational programs for professional development. Orients, and transfers knowledge to peers.",,
Data Scientist,Capgemini,"Washington, DC",,,"Provide subject matter expertise in data science, machine learning, and AI; Collaborate with stakeholders on GenAI, OCR, automation, predictive modeling, pattern analysis, NLP, fraud detection; Drive AI-related solutions; Conduct exploratory data analysis; Develop custom algorithms and models; Deploy AI/ML solutions; Present solutions to clients",,
